Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
IDEALS,General Fund,2023-04-06,2023-04-14,2023-04-13,7,Purchase Order,Fund Transfer,Net 30,PR-2023-2783,PO-2023-2093,RR-2023-6117,VAT,Honorarium 5%,PHP,18355.64,117.8,917.78,17320.06,422,0,0,0.94,Freeze
HRMO,Others,2024-02-27,2024-03-26,2024-03-04,6,Purchase Order,Fund Transfer,Net 7,PR-2024-1877,PO-2024-2886,,VAT,Goods,PHP,16181.28,137.84,161.81,15881.63,679,0,0,1.05,Decrease
CAS,Special Fund,2024-10-11,2024-10-19,2024-10-13,2,Payment Only,Cheque,Net 7,PR-2024-3671,,RR-2024-2932,Non-VAT,Rental,PHP,18816.18,16.36,940.81,17859.01,3743,2,0,0.94,Increase
BDCCO,General Fund,2021-02-04,2021-02-19,2021-02-13,9,Purchase Order,Fund Transfer,Net 15,PR-2021-4622,PO-2021-1464,RR-2021-9804,Non-VAT,Honorarium 10%,PHP,10935.03,67.24,1093.5,9774.29,682,0,0,0.92,Freeze
CHS,Project Fund,2025-06-08,2025-06-22,2025-06-19,11,Purchase Order,Cheque,Net 30,PR-2025-5017,PO-2025-3819,RR-2025-3285,VAT,Rental,USD,23983.41,36.9,1199.17,22747.34,2886,5,0,1.1,Increase
CHS,Paid Fund,2025-04-20,2025-05-30,2025-04-24,4,Payment Only,Fund Transfer,Net 15,PR-2025-7310,,,VAT,Services,PHP,38623.1,121.11,772.46,37729.53,2901,5,1,1.08,Decrease
CEA,General Fund,2023-04-20,2023-05-10,2023-04-23,3,Payment Only,Fund Transfer,Net 7,PR-2023-9075,,RR-2023-3481,VAT,Rental,PHP,37077.91,82.97,1853.9,35141.04,5028,8,0,1.03,Decrease
TO,General Fund,2022-12-21,2023-01-05,2023-01-04,14,Purchase Order,Fund Transfer,Net 30,PR-2022-4185,PO-2022-7679,RR-2022-1864,VAT,Rental,PHP,7043.57,69.52,352.18,6621.87,676,0,0,0.91,Freeze
CCIS,Paid Fund,2022-05-01,2022-06-09,2022-05-13,12,Purchase Order,Fund Transfer,Net 45,PR-2022-3925,PO-2022-1909,,VAT,Rental,PHP,16616.82,143.29,830.84,15642.69,2983,3,0,0.94,Freeze
MARCOMM,Project Fund,2023-05-20,2023-06-04,2023-06-03,14,Purchase Order,Fund Transfer,Net 30,PR-2023-5454,PO-2023-7770,RR-2023-8250,Non-VAT,Services,PHP,13818.64,128.48,276.37,13413.79,593,0,0,0.97,Freeze
CEA,General Fund,2021-03-07,2021-04-14,2021-03-19,12,Purchase Order,Fund Transfer,Net 45,PR-2021-2339,PO-2021-7466,,VAT,Goods,PHP,97839.15,36.07,978.39,96824.69,4980,8,0,1.06,Freeze
ORDI,Paid Fund,2025-03-21,2025-04-23,2025-03-30,9,Purchase Order,Fund Transfer,Net 30,PR-2025-5255,PO-2025-2004,,Non-VAT,Services,PHP,10547.73,132.45,210.95,10204.33,652,0,0,1.04,Freeze
HS,General Fund,2021-02-03,2021-03-05,2021-02-13,10,Purchase Order,Fund Transfer,Net 7,PR-2021-6434,PO-2021-1571,RR-2021-6918,VAT,Goods,PHP,13814.21,94.42,138.14,13581.65,360,0,0,1.0,Freeze
OCP,General Fund,2022-08-15,2022-09-24,2022-09-02,18,Purchase Order,Fund Transfer,Net 30,PR-2022-1443,PO-2022-6973,,Non-VAT,Goods,PHP,14126.7,116.47,141.27,13868.96,207,0,0,0.92,Decrease
1900 STORE,Special Fund,2025-08-04,2025-08-28,2025-08-13,9,Purchase Order,Fund Transfer,Net 7,PR-2025-2953,PO-2025-3568,,Non-VAT,Goods,PHP,17298.56,19.44,172.99,17106.13,845,0,0,0.93,Freeze
CCIS,Paid Fund,2024-09-22,2024-10-23,2024-10-07,15,Purchase Order,Cash,Net 15,PR-2024-1025,PO-2024-8946,,VAT,Services,PHP,59978.7,0.0,1199.57,58779.13,3097,3,0,0.93,Decrease
RO,General Fund,2022-05-12,2022-05-27,2022-05-19,7,Payment Only,Fund Transfer,Net 30,PR-2022-1559,,RR-2022-4914,Non-VAT,Goods,PHP,12671.31,58.45,126.71,12486.15,576,0,0,1.05,Decrease
ATYCB,Project Fund,2022-04-05,2022-04-16,2022-04-10,5,Payment Only,Fund Transfer,Net 15,PR-2022-4498,,RR-2022-6506,VAT,Goods,PHP,90656.25,15.5,906.56,89734.19,940,6,0,0.95,Decrease
CHS,Special Fund,2021-01-08,2021-02-09,2021-01-22,14,Purchase Order,Fund Transfer,Net 30,PR-2021-9721,PO-2021-4674,,Non-VAT,Services,PHP,73962.78,61.74,1479.26,72421.78,2634,5,0,1.07,Freeze
ICELL,Project Fund,2024-06-20,2024-07-05,2024-06-26,6,Purchase Order,Cheque,Net 7,PR-2024-6771,PO-2024-5679,RR-2024-8940,Non-VAT,Honorarium 10%,PHP,11950.99,11.68,1195.1,10744.21,674,0,0,1.08,Decrease
CSCE,Special Fund,2021-03-26,2021-05-09,2021-04-18,23,Payment Only,Cash,Net 45,PR-2021-7146,,RR-2021-9560,VAT,Services,PHP,15964.25,0.0,319.28,15644.97,446,0,0,0.9,Freeze
TO,Project Fund,2023-08-12,2023-09-07,2023-08-21,9,Purchase Order,Fund Transfer,Net 30,PR-2023-2660,PO-2023-2763,RR-2023-8865,Non-VAT,Services,PHP,10453.99,115.16,209.08,10129.75,702,0,0,0.91,Freeze
RO,Paid Fund,2025-10-21,2025-11-11,2025-10-30,9,Purchase Order,Fund Transfer,Net 30,PR-2025-3803,PO-2025-7209,RR-2025-6809,VAT,Goods,PHP,14506.83,92.4,145.07,14269.36,512,0,0,0.94,Increase
CAS,Project Fund,2021-07-07,2021-07-19,2021-07-11,4,Purchase Order,Cash,Net 7,PR-2021-8793,PO-2021-3597,RR-2021-8981,Non-VAT,Goods,PHP,41052.19,0.0,410.52,40641.67,4150,2,0,1.07,Increase
CCIS,Others,2025-06-25,2025-07-09,2025-07-08,13,Purchase Order,Cheque,Net 30,PR-2025-2188,PO-2025-6147,,Non-VAT,Honorarium 5%,PHP,30249.36,23.09,1512.47,28713.8,3219,3,0,1.0,Increase
CHSW,Others,2025-12-09,2026-01-13,2026-01-01,23,Purchase Order,Fund Transfer,Net 30,PR-2025-2326,PO-2025-9219,RR-2025-5593,Non-VAT,Goods,PHP,11924.74,102.16,119.25,11703.33,349,0,0,0.94,Freeze
CEA,General Fund,2021-04-02,2021-05-14,2021-04-04,2,Payment Only,Fund Transfer,Net 7,PR-2021-4883,,RR-2021-4014,Non-VAT,Goods,PHP,58660.54,111.22,586.61,57962.71,4923,8,0,0.93,Freeze
LMO,Project Fund,2025-05-25,2025-06-08,2025-06-07,13,Purchase Order,Cheque,Net 30,PR-2025-1401,PO-2025-6554,,Non-VAT,Goods,PHP,23035.82,0.9,230.36,22804.56,554,0,0,0.99,Increase
OAVP,General Fund,2023-07-07,2023-08-11,2023-07-23,16,Payment Only,Fund Transfer,Net 45,PR-2023-2935,,,VAT,Goods,USD,16167.89,24.54,161.68,15981.67,253,0,0,1.07,Decrease
PO,Paid Fund,2025-06-14,2025-07-08,2025-07-04,20,Purchase Order,Fund Transfer,Net 30,PR-2025-7984,PO-2025-7037,,Non-VAT,Goods,PHP,12774.34,17.43,127.74,12629.17,470,0,0,1.08,Freeze
TO,Project Fund,2023-11-15,2023-12-27,2023-11-23,8,Purchase Order,Fund Transfer,Net 15,PR-2023-4794,PO-2023-3891,RR-2023-4147,Non-VAT,Goods,USD,6757.95,49.8,67.58,6640.57,652,0,0,0.91,Freeze
IDEALS,General Fund,2024-04-15,2024-05-21,2024-04-21,6,Purchase Order,Fund Transfer,Net 15,PR-2024-5801,PO-2024-6357,RR-2024-4995,VAT,Goods,PHP,20249.03,28.49,202.49,20018.05,431,0,0,1.09,Increase
ORDI,General Fund,2023-09-26,2023-10-15,2023-10-01,5,Purchase Order,Cheque,Net 7,PR-2023-5151,PO-2023-2305,RR-2023-1716,VAT,Honorarium 5%,PHP,12123.53,7.25,606.18,11510.1,721,0,0,0.96,Freeze
1900 STORE,Project Fund,2025-04-24,2025-05-26,2025-05-16,22,Purchase Order,Cheque,Net 30,PR-2025-2737,PO-2025-5220,RR-2025-4395,Non-VAT,Goods,USD,11829.26,22.8,118.29,11688.17,803,0,0,0.97,Freeze
CAS,Special Fund,2024-09-21,2024-10-20,2024-09-28,7,Payment Only,Cheque,Net 30,PR-2024-1010,,,VAT,Services,PHP,22264.73,44.47,445.29,21774.97,3748,2,0,0.95,Freeze
CCIS,Project Fund,2023-08-13,2023-09-05,2023-08-30,17,Payment Only,Fund Transfer,Net 30,PR-2023-9091,,RR-2023-8755,Non-VAT,Goods,PHP,36064.56,112.07,360.65,35591.84,3072,3,0,0.94,Freeze
IDEALS,Project Fund,2025-04-25,2025-05-30,2025-04-30,5,Payment Only,Cheque,Net 15,PR-2025-5827,,RR-2025-4503,VAT,Goods,PHP,14363.6,11.83,143.64,14208.13,462,0,0,0.94,Decrease
HRMO,General Fund,2022-03-01,2022-03-31,2022-03-08,7,Payment Only,Cheque,Net 30,PR-2022-6796,,RR-2022-4293,VAT,Rental,PHP,6659.16,40.08,332.96,6286.12,625,0,0,0.96,Increase
LMO,Project Fund,2021-10-28,2021-11-27,2021-11-07,10,Payment Only,Cash,Net 30,PR-2021-7992,,RR-2021-2598,VAT,Services,PHP,7665.45,0.0,153.31,7512.14,636,0,0,1.09,Increase
OP,General Fund,2021-10-03,2021-10-16,2021-10-10,7,Payment Only,Fund Transfer,Net 30,PR-2021-4479,,,Non-VAT,Goods,PHP,6236.76,15.58,62.37,6158.81,561,0,0,0.94,Freeze
CAS,Special Fund,2022-09-26,2022-10-03,2022-09-28,2,Purchase Order,Cheque,Immediate,PR-2022-7837,PO-2022-8106,RR-2022-9715,VAT,Rental,PHP,17216.07,2.59,860.8,16352.68,4034,2,0,1.0,Freeze
CHS,General Fund,2022-03-22,2022-03-30,2022-03-22,0,Payment Only,Fund Transfer,Immediate,PR-2022-7010,,RR-2022-1412,Non-VAT,Services,PHP,47799.54,126.35,955.99,46717.2,2623,5,0,0.97,Decrease
CEA,Project Fund,2025-08-04,2025-09-08,2025-08-13,9,Purchase Order,Cheque,Net 30,PR-2025-5135,PO-2025-6038,RR-2025-4390,VAT,Services,PHP,27493.64,21.95,549.87,26921.82,5150,8,0,1.06,Freeze
OVPAA,Special Fund,2021-06-20,2021-07-18,2021-07-07,17,Purchase Order,Fund Transfer,Net 15,PR-2021-5984,PO-2021-8348,,Non-VAT,Services,PHP,14110.79,34.45,282.22,13794.12,272,0,0,0.94,Increase
OAVP,General Fund,2024-06-16,2024-07-12,2024-06-21,5,Purchase Order,Fund Transfer,Net 7,PR-2024-3877,PO-2024-5014,RR-2024-1237,VAT,Goods,PHP,17935.0,120.97,179.35,17634.68,237,0,0,1.05,Freeze
HRMO,Project Fund,2021-12-12,2021-12-25,2021-12-24,12,Purchase Order,Cash,Net 30,PR-2021-1992,PO-2021-3783,,VAT,Honorarium 5%,PHP,17116.14,0.0,855.81,16260.33,655,0,0,0.99,Freeze
MARCOMM,General Fund,2025-05-21,2025-06-01,2025-05-25,4,Payment Only,Fund Transfer,Net 15,PR-2025-3913,,RR-2025-8114,Non-VAT,Goods,PHP,22729.07,69.85,227.29,22431.93,698,0,0,0.92,Freeze
ICELL,Special Fund,2025-10-21,2025-11-05,2025-11-02,12,Payment Only,Cash,Net 30,PR-2025-9846,,RR-2025-3288,VAT,Rental,PHP,8985.16,0.0,449.26,8535.9,712,0,0,1.0,Freeze
OP,Others,2023-04-18,2023-04-28,2023-04-21,3,Purchase Order,Fund Transfer,Immediate,PR-2023-8447,PO-2023-5109,RR-2023-5023,VAT,Rental,PHP,10786.95,82.32,539.35,10165.28,535,0,0,0.98,Increase
CHS,Project Fund,2025-05-24,2025-06-19,2025-06-01,8,Purchase Order,Cheque,Net 15,PR-2025-7546,PO-2025-8934,,VAT,Goods,PHP,35981.04,30.19,359.81,35591.04,2945,5,1,1.04,Freeze
CHS,Paid Fund,2021-01-23,2021-03-06,2021-02-20,28,Purchase Order,Cash,Net 30,PR-2021-6784,PO-2021-5643,RR-2021-5728,Non-VAT,Rental,PHP,21201.58,0.0,1060.08,20141.5,2543,5,0,1.09,Freeze
CHS,General Fund,2025-02-18,2025-03-12,2025-02-27,9,Purchase Order,Cheque,Net 30,PR-2025-5307,PO-2025-3925,RR-2025-7714,VAT,Services,PHP,29464.24,37.85,589.28,28837.11,2877,5,0,0.96,Increase
ITO,General Fund,2022-02-02,2022-03-02,2022-02-06,4,Payment Only,Fund Transfer,Net 15,PR-2022-7342,,RR-2022-6580,VAT,Goods,USD,24896.91,17.98,248.97,24629.96,395,0,0,0.98,Freeze
ATYCB,General Fund,2025-07-19,2025-08-23,2025-08-03,15,Purchase Order,Fund Transfer,Net 15,PR-2025-8021,PO-2025-7833,RR-2025-5838,Non-VAT,Goods,PHP,36996.79,35.28,369.97,36591.54,888,6,0,0.92,Freeze
ATYCB,Special Fund,2021-01-08,2021-01-31,2021-01-20,12,Purchase Order,Cash,Net 30,PR-2021-7480,PO-2021-8505,RR-2021-2323,Non-VAT,Rental,PHP,12496.17,0.0,624.81,11871.36,1072,6,0,1.02,Decrease
ORDI,General Fund,2023-10-07,2023-11-19,2023-10-11,4,Payment Only,Cheque,Net 15,PR-2023-7149,,RR-2023-5629,Non-VAT,Goods,PHP,12783.83,19.22,127.84,12636.77,652,0,0,0.98,Freeze
OCP,Others,2024-10-02,2024-11-09,2024-10-07,5,Payment Only,Fund Transfer,Net 7,PR-2024-8740,,RR-2024-5369,VAT,Rental,PHP,5538.18,99.57,276.91,5161.7,235,0,0,0.95,Freeze
CEA,Special Fund,2022-04-20,2022-05-03,2022-04-22,2,Payment Only,Cash,Net 7,PR-2022-3086,,,VAT,Rental,PHP,27147.43,0.0,1357.37,25790.06,4952,8,0,1.06,Freeze
OSS,Special Fund,2021-12-09,2021-12-30,2021-12-14,5,Purchase Order,Fund Transfer,Immediate,PR-2021-4764,PO-2021-9553,,VAT,Services,PHP,36526.15,96.1,730.52,35699.53,306,0,0,0.99,Freeze
IDEALS,General Fund,2021-05-11,2021-06-16,2021-05-17,6,Purchase Order,Fund Transfer,Net 15,PR-2021-1097,PO-2021-6606,RR-2021-9156,Non-VAT,Services,PHP,6715.48,87.44,134.31,6493.73,488,0,0,1.04,Increase
CHSW,Project Fund,2022-08-23,2022-09-13,2022-08-27,4,Payment Only,Fund Transfer,Net 15,PR-2022-1682,,RR-2022-1753,VAT,Rental,PHP,6805.11,19.69,340.26,6445.16,364,0,0,1.08,Freeze
CAS,General Fund,2023-11-13,2023-12-19,2023-12-03,20,Purchase Order,Fund Transfer,Net 30,PR-2023-4281,PO-2023-9810,,Non-VAT,Rental,PHP,27155.52,33.93,1357.78,25763.81,3881,2,0,0.98,Freeze
IFO,General Fund,2021-07-07,2021-08-06,2021-07-14,7,Payment Only,Cash,Net 30,PR-2021-1389,,,VAT,Goods,PHP,16832.21,0.0,168.32,16663.89,634,0,0,1.01,Freeze
CHS,Others,2022-12-03,2022-12-21,2022-12-08,5,Purchase Order,Fund Transfer,Net 7,PR-2022-2205,PO-2022-7703,RR-2022-3136,Non-VAT,Goods,PHP,37508.77,13.49,375.09,37120.19,2625,5,0,1.04,Freeze
LMO,Paid Fund,2021-01-23,2021-02-09,2021-01-23,0,Payment Only,Cheque,Immediate,PR-2021-4664,,,Non-VAT,Services,PHP,19112.51,29.22,382.25,18701.04,646,0,0,0.93,Freeze
CCIS,Special Fund,2025-02-12,2025-03-09,2025-02-17,5,Payment Only,Cash,Net 15,PR-2025-7516,,RR-2025-9722,VAT,Services,USD,44887.23,0.0,897.74,43989.49,3255,3,1,1.0,Freeze
CEA,Project Fund,2021-08-18,2021-09-15,2021-09-01,14,Purchase Order,Fund Transfer,Net 15,PR-2021-3934,PO-2021-1498,RR-2021-9890,VAT,Goods,PHP,36384.68,59.42,363.85,35961.41,4945,8,0,1.07,Freeze
DOST,General Fund,2022-05-04,2022-06-06,2022-05-14,10,Payment Only,Cheque,Net 45,PR-2022-3389,,,VAT,Goods,PHP,14165.58,34.34,141.66,13989.58,251,0,0,0.97,Freeze
CAS,Project Fund,2021-02-19,2021-03-04,2021-02-28,9,Payment Only,Fund Transfer,Net 30,PR-2021-7290,,RR-2021-8973,Non-VAT,Goods,PHP,68587.33,31.04,685.87,67870.42,4181,2,0,0.97,Freeze
ATYCB,Special Fund,2023-03-10,2023-04-22,2023-03-14,4,Payment Only,Cash,Net 15,PR-2023-7594,,RR-2023-8480,VAT,Rental,PHP,59570.8,0.0,2978.54,56592.26,918,6,0,0.91,Freeze
CCIS,General Fund,2025-03-15,2025-04-08,2025-04-07,23,Payment Only,Cheque,Net 30,PR-2025-7957,,RR-2025-5204,Non-VAT,Goods,PHP,38193.41,28.75,381.93,37782.73,3185,3,0,1.06,Freeze
ATYCB,General Fund,2023-01-28,2023-03-03,2023-02-08,11,Purchase Order,Fund Transfer,Net 15,PR-2023-7614,PO-2023-1741,RR-2023-8839,VAT,Honorarium 5%,PHP,57621.5,102.56,2881.07,54637.87,899,6,0,1.02,Freeze
CCIS,Others,2021-12-28,2022-02-06,2022-01-06,9,Purchase Order,Fund Transfer,Net 30,PR-2021-4368,PO-2021-3629,,VAT,Goods,PHP,48377.45,128.6,483.77,47765.08,2913,3,0,0.93,Decrease
LMO,Project Fund,2024-10-04,2024-10-13,2024-10-12,8,Payment Only,Fund Transfer,Net 30,PR-2024-3117,,RR-2024-6014,VAT,Goods,PHP,10390.17,127.53,103.9,10158.74,596,0,0,1.05,Freeze
NSTP,Project Fund,2024-12-22,2024-12-30,2024-12-29,7,Purchase Order,Cheque,Net 45,PR-2024-6665,PO-2024-5541,,VAT,Honorarium 5%,PHP,14311.63,4.26,715.58,13591.79,563,0,0,0.99,Freeze
DOST,Project Fund,2021-11-06,2021-11-29,2021-11-17,11,Purchase Order,Fund Transfer,Net 30,PR-2021-2719,PO-2021-6672,,Non-VAT,Services,PHP,19194.57,147.2,383.89,18663.48,271,0,0,0.95,Increase
ITO,General Fund,2024-11-20,2024-12-07,2024-11-27,7,Purchase Order,Cheque,Net 15,PR-2024-4242,PO-2024-5683,RR-2024-6839,VAT,Goods,PHP,19975.23,9.02,199.75,19766.46,375,0,0,1.01,Decrease
CHSW,General Fund,2025-09-19,2025-10-25,2025-09-24,5,Payment Only,Fund Transfer,Net 15,PR-2025-2350,,RR-2025-3548,VAT,Rental,PHP,5016.67,20.61,250.83,4745.23,415,0,0,0.92,Freeze
CHS,General Fund,2021-11-18,2021-11-26,2021-11-25,7,Purchase Order,Fund Transfer,Net 30,PR-2021-4388,PO-2021-9176,RR-2021-8247,VAT,Rental,PHP,19222.73,60.75,961.14,18200.84,2590,5,0,0.94,Freeze
OP,General Fund,2024-11-25,2024-12-04,2024-11-29,4,Payment Only,Cash,Net 15,PR-2024-4721,,RR-2024-9249,VAT,Goods,PHP,9794.73,0.0,97.95,9696.78,548,0,0,1.05,Freeze
ADO,General Fund,2024-07-10,2024-08-01,2024-07-31,21,Purchase Order,Cheque,Net 45,PR-2024-8496,PO-2024-4600,RR-2024-5010,Non-VAT,Services,PHP,18762.88,20.63,375.26,18366.99,239,0,0,1.03,Freeze
CHS,Special Fund,2023-05-10,2023-06-06,2023-05-14,4,Purchase Order,Cheque,Net 7,PR-2023-6745,PO-2023-2540,RR-2023-1301,VAT,Services,PHP,49792.41,44.62,995.85,48751.94,2751,5,0,1.04,Freeze
CAS,Paid Fund,2021-04-02,2021-05-16,2021-04-15,13,Purchase Order,Fund Transfer,Net 30,PR-2021-4340,PO-2021-3343,RR-2021-7856,VAT,Honorarium 10%,PHP,15854.65,10.53,1585.46,14258.66,4130,2,0,1.06,Freeze
CAS,Paid Fund,2021-05-11,2021-06-22,2021-05-22,11,Purchase Order,Fund Transfer,Net 30,PR-2021-4234,PO-2021-6997,RR-2021-3062,Non-VAT,Services,PHP,43913.53,19.03,878.27,43016.23,4126,2,0,1.03,Freeze
DOST,Special Fund,2025-03-23,2025-04-19,2025-03-24,1,Payment Only,Cash,Immediate,PR-2025-1457,,RR-2025-2884,VAT,Goods,PHP,12013.33,0.0,120.13,11893.2,247,0,0,1.0,Freeze
IFO,General Fund,2025-12-12,2026-01-04,2025-12-14,2,Payment Only,Cash,Net 7,PR-2025-4315,,RR-2025-2598,VAT,Services,PHP,23426.15,0.0,468.52,22957.63,600,0,0,1.0,Increase
CORPCOMM,Project Fund,2024-05-18,2024-06-17,2024-05-28,10,Payment Only,Fund Transfer,Net 45,PR-2024-2717,,,VAT,Goods,PHP,7007.71,41.54,70.08,6896.09,287,0,0,0.97,Freeze
RO,Special Fund,2023-03-21,2023-05-02,2023-03-23,2,Purchase Order,Cash,Immediate,PR-2023-4709,PO-2023-2289,RR-2023-8951,VAT,Goods,PHP,20439.81,0.0,204.4,20235.41,529,0,0,0.94,Increase
OAVP,Special Fund,2024-03-09,2024-04-14,2024-03-18,9,Purchase Order,Cash,Net 30,PR-2024-4450,PO-2024-4518,RR-2024-4860,Non-VAT,Services,PHP,7491.41,0.0,149.83,7341.58,217,0,0,1.08,Freeze
CAS,General Fund,2024-01-25,2024-02-11,2024-02-10,16,Purchase Order,Cash,Net 30,PR-2024-8960,PO-2024-5886,RR-2024-7023,Non-VAT,Goods,PHP,99664.59,0.0,996.65,98667.94,3754,2,0,1.04,Increase
QAEO,General Fund,2022-12-11,2023-01-16,2022-12-14,3,Purchase Order,Fund Transfer,Immediate,PR-2022-9695,PO-2022-5141,RR-2022-9728,VAT,Services,PHP,19479.82,147.05,389.6,18943.17,473,0,0,0.99,Freeze
CHSW,General Fund,2021-04-16,2021-04-27,2021-04-23,7,Payment Only,Fund Transfer,Net 30,PR-2021-3699,,RR-2021-4664,VAT,Rental,PHP,14021.42,137.11,701.07,13183.24,406,0,0,1.07,Freeze
CHS,General Fund,2025-02-26,2025-03-16,2025-03-01,3,Payment Only,Fund Transfer,Net 7,PR-2025-9897,,RR-2025-3861,Non-VAT,Goods,PHP,115245.79,43.56,1152.46,114049.77,2862,5,0,1.03,Increase
ATYCB,Project Fund,2022-12-07,2022-12-24,2022-12-07,0,Payment Only,Cheque,Immediate,PR-2022-1973,,,VAT,Services,PHP,54308.96,30.09,1086.18,53192.69,998,6,0,1.04,Freeze
CCIS,General Fund,2025-02-26,2025-03-14,2025-03-03,5,Purchase Order,Cheque,Net 7,PR-2025-9577,PO-2025-7126,RR-2025-9190,VAT,Services,PHP,76634.67,41.93,1532.69,75060.05,3245,3,0,1.04,Freeze
ATYCB,Project Fund,2022-04-17,2022-05-07,2022-04-24,7,Payment Only,Fund Transfer,Net 30,PR-2022-7253,,,Non-VAT,Services,PHP,30676.85,50.16,613.54,30013.15,986,6,0,0.99,Freeze
ATYCB,General Fund,2021-01-17,2021-02-20,2021-01-23,6,Purchase Order,Cheque,Net 15,PR-2021-3674,PO-2021-5548,RR-2021-2552,VAT,Services,PHP,30077.11,47.05,601.54,29428.52,1034,6,0,0.96,Increase
IDEALS,Paid Fund,2021-10-27,2021-11-11,2021-11-04,8,Payment Only,Cash,Net 30,PR-2021-3795,,,VAT,Goods,PHP,15903.26,0.0,159.03,15744.23,487,0,0,1.04,Freeze
TO,General Fund,2023-04-08,2023-04-29,2023-04-12,4,Purchase Order,Fund Transfer,Net 7,PR-2023-4774,PO-2023-5655,RR-2023-7817,VAT,Goods,PHP,20149.62,27.5,201.5,19920.62,632,0,0,1.07,Freeze
CEA,Project Fund,2025-09-12,2025-10-16,2025-09-14,2,Payment Only,Cash,Net 7,PR-2025-6534,,RR-2025-7579,VAT,Goods,PHP,30004.31,0.0,300.04,29704.27,5151,8,0,1.09,Increase
NSTP,General Fund,2021-06-05,2021-06-15,2021-06-09,4,Payment Only,Fund Transfer,Net 7,PR-2021-2573,,RR-2021-2256,Non-VAT,Goods,PHP,15995.3,99.28,159.95,15736.07,504,0,0,1.02,Freeze
PO,General Fund,2025-03-26,2025-05-03,2025-04-14,19,Purchase Order,Cheque,Net 30,PR-2025-9721,PO-2025-6880,RR-2025-6859,Non-VAT,Goods,PHP,30124.08,26.03,301.24,29796.81,538,0,0,1.04,Freeze
CLIR,General Fund,2023-08-18,2023-09-02,2023-08-27,9,Purchase Order,Fund Transfer,Net 30,PR-2023-5535,PO-2023-2098,,VAT,Services,PHP,7513.68,122.02,150.27,7241.39,370,0,0,1.07,Freeze
LMO,General Fund,2025-02-13,2025-02-24,2025-02-23,10,Purchase Order,Cheque,Net 30,PR-2025-1943,PO-2025-5156,,VAT,Honorarium 5%,PHP,15588.98,15.66,779.45,14793.87,569,0,0,1.09,Freeze
ITO,Paid Fund,2022-06-07,2022-07-13,2022-06-24,17,Purchase Order,Cash,Net 30,PR-2022-8904,PO-2022-5533,RR-2022-3669,VAT,Services,PHP,17210.35,0.0,344.21,16866.14,436,0,0,1.03,Decrease
CCIS,Project Fund,2025-03-09,2025-04-22,2025-03-13,4,Purchase Order,Cheque,Net 7,PR-2025-2533,PO-2025-7885,RR-2025-5796,VAT,Rental,PHP,31394.81,28.14,1569.74,29796.93,3255,3,0,1.03,Freeze
PO,Special Fund,2024-11-15,2024-12-08,2024-11-24,9,Payment Only,Fund Transfer,Net 15,PR-2024-3294,,RR-2024-1072,VAT,Rental,PHP,7807.26,69.24,390.36,7347.66,526,0,0,1.0,Decrease
OSS,Project Fund,2022-02-19,2022-03-12,2022-03-08,17,Purchase Order,Cheque,Net 15,PR-2022-7683,PO-2022-6773,RR-2022-6508,Non-VAT,Services,PHP,18382.69,37.99,367.65,17977.05,325,0,0,0.93,Freeze
LMO,Project Fund,2021-08-01,2021-08-08,2021-08-01,0,Payment Only,Cheque,Immediate,PR-2021-7761,,,VAT,Honorarium 10%,PHP,4864.71,33.72,486.47,4344.52,606,0,0,0.99,Increase
IDEALS,Special Fund,2025-04-20,2025-05-28,2025-04-28,8,Payment Only,Fund Transfer,Net 30,PR-2025-9628,,RR-2025-7098,Non-VAT,Honorarium 5%,PHP,15909.71,39.93,795.49,15074.29,511,0,0,1.03,Increase
ORDI,General Fund,2025-10-13,2025-11-01,2025-10-31,18,Purchase Order,Cash,Net 15,PR-2025-9003,PO-2025-8718,RR-2025-9532,VAT,Services,PHP,12508.94,0.0,250.18,12258.76,696,0,0,1.03,Freeze
OCP,Paid Fund,2021-02-02,2021-02-14,2021-02-09,7,Payment Only,Fund Transfer,Net 30,PR-2021-7596,,RR-2021-5405,VAT,Services,PHP,13540.51,74.14,270.81,13195.56,236,0,0,1.07,Increase
BDCCO,Project Fund,2024-08-09,2024-08-24,2024-08-15,6,Purchase Order,Fund Transfer,Net 15,PR-2024-8273,PO-2024-5203,RR-2024-7274,Non-VAT,Rental,PHP,11562.32,113.38,578.12,10870.82,733,0,0,1.07,Increase
CAS,Project Fund,2025-07-08,2025-08-14,2025-07-15,7,Purchase Order,Fund Transfer,Net 7,PR-2025-9043,PO-2025-2362,RR-2025-3240,Non-VAT,Services,PHP,26800.43,63.52,536.01,26200.9,3640,2,0,0.95,Freeze
CAS,Special Fund,2025-04-01,2025-04-22,2025-04-07,6,Payment Only,Fund Transfer,Net 15,PR-2025-4628,,,VAT,Goods,PHP,53242.87,19.88,532.43,52690.56,3675,2,0,1.05,Increase
PO,General Fund,2025-10-23,2025-11-25,2025-10-27,4,Payment Only,Cheque,Net 15,PR-2025-1977,,RR-2025-2258,Non-VAT,Honorarium 5%,PHP,11239.11,38.63,561.96,10638.52,462,0,0,0.97,Freeze
